id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
744861682049250871,0.99,2,365,2,2,1125,1125,2.0,1125.0,f,0,0,0,0
744865540898445597,0.99,1,365,1,3,365,365,1.3,365.0,t,14,38,68,158
744948878673895840,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
746940688719175198,0.99,10,365,10,10,365,365,10.0,365.0,t,6,31,61,336
746945104372971661,0.99,2,365,2,7,365,365,4.6,365.0,t,13,43,73,73
745030909281710953,0.99,2,365,2,2,365,365,2.0,365.0,t,23,53,81,352
745294991959992327,0.99,3,365,1,4,365,365,3.2,365.0,t,17,44,74,155
745301284055302103,0.99,1,365,4,90,365,365,6.2,365.0,t,0,0,0,0
745356639876253987,0.99,2,365,2,2,365,365,2.0,365.0,t,17,37,54,314
747009236554071762,0.99,1,7,1,1,7,7,1.0,7.0,t,28,58,88,88
747012670680388001,0.99,1,14,1,1,14,14,1.0,14.0,t,18,43,71,309
745357430741638105,0.99,2,365,1,2,365,365,2.0,365.0,t,17,28,46,289
745359224523119723,0.99,3,14,3,3,14,14,3.0,14.0,t,30,60,90,365
747046075840784941,0.99,2,7,1,2,7,7,1.4,7.0,f,0,0,0,0
745360089177979182,0.99,3,365,3,4,365,365,3.8,365.0,t,0,0,0,0
747151525314385581,0.99,1,28,1,1,1125,1125,1.0,1125.0,t,6,10,24,53
745398381582090260,0.99,3,365,2,4,365,365,3.2,365.0,t,13,38,68,86
745407539073393336,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,1,5,5,5
747418270225085631,0.99,2,365,2,2,365,365,2.0,365.0,t,8,25,44,284
745409828572468869,0.99,1,365,1,1,7,7,1.0,7.0,t,8,24,54,329
747523429190116371,0.99,2,365,2,3,1125,1125,2.7,1125.0,t,6,6,6,6
747568535760612919,0.99,30,365,30,30,365,365,30.0,365.0,t,2,32,62,337
747689886487535432,0.99,1,365,1,1,365,365,1.0,365.0,t,8,8,8,8
747697217413368063,0.99,1,365,1,1,365,365,1.0,365.0,t,13,13,13,13
747697794689549047,0.99,1,365,1,1,365,365,1.0,365.0,t,3,3,3,3
747698373241961538,0.99,1,365,1,1,365,365,1.0,365.0,t,4,4,4,4
745441512723400498,0.99,1,365,1,1,365,365,1.0,365.0,t,27,53,83,358
747698915754480640,0.99,1,365,1,1,365,365,1.0,365.0,t,10,13,13,13
747699501518256371,0.99,1,365,1,1,365,365,1.0,365.0,t,16,16,16,16
745544766565873961,0.99,1,1125,1,2,1125,1125,2.0,1125.0,t,17,43,73,344
745578554413837618,0.99,1,365,1,1,365,365,1.0,365.0,t,23,52,82,357
747724513952900527,0.99,1,365,1,2,365,365,1.0,365.0,t,5,5,5,5
745598077844440619,0.99,2,1125,3,3,1125,1125,3.0,1125.0,t,0,0,13,288
745648294228437680,0.99,20,365,20,20,365,365,20.0,365.0,t,5,27,57,332
747888410657177432,0.99,1,1125,1,3,1125,1125,1.1,1125.0,t,9,39,69,333
745775694782438525,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,13,43,73,348
748392739923041480,0.99,2,28,2,2,28,28,2.0,28.0,t,7,37,67,342
745841747423734254,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,9,9,37,312
746039664594420842,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,19,49,79,354
746062841533978148,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,5,35,310
748415189471944510,0.99,1,1125,1,1,1125,1125,1.0,1125.0,f,0,0,0,0
746081961649176972,0.99,29,365,21,29,365,365,28.9,365.0,t,0,29,59,334
752718568704520822,0.99,3,28,3,3,28,28,3.0,28.0,t,0,0,0,0
748523841237967216,0.99,4,15,4,4,15,15,4.0,15.0,f,0,0,0,0
748613277176266249,0.99,5,365,3,5,365,365,5.0,365.0,t,4,5,31,117
752772601308800717,0.99,2,365,2,2,365,365,2.0,365.0,t,17,18,36,36
749056483784167727,0.99,3,7,3,3,1125,1125,3.0,1125.0,f,0,0,0,0
752802833980590013,0.99,1,1125,1,3,3,1125,2.7,178.8,t,20,50,77,322
749279825436229226,0.99,7,1125,2,2,1125,1125,2.0,1125.0,t,0,0,13,288
752847238492533103,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
749676208736085363,0.99,2,1125,2,2,1125,1125,2.0,1125.0,f,0,0,0,0
752928619367065335,0.99,2,28,2,2,28,28,2.0,28.0,t,19,49,79,354
749703570295006583,0.99,6,1125,6,6,1125,1125,6.0,1125.0,t,29,59,89,364
752976483255752075,0.99,1,90,1,1,1125,1125,1.0,1125.0,t,0,0,1,1
749796661936297974,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
753331775950904994,0.99,15,1125,5,15,1125,1125,14.1,1125.0,f,0,0,0,0
753388245514744021,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,1,1,1,1
753713291004729992,0.99,2,365,2,2,365,365,2.0,365.0,t,0,0,0,0
753844746483868418,0.99,1,10,1,1,10,10,1.0,10.0,t,29,59,89,364
754080479547306880,0.99,25,365,30,30,99,99,30.0,99.0,f,0,0,0,0
749845266915751242,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,1,1,1,1
754172435142674049,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,257
749848047423042115,0.99,4,365,4,4,365,365,4.0,365.0,t,0,0,0,0
749891646339863226,0.99,2,90,1,2,1125,1125,2.0,1125.0,t,6,27,53,276
749930035647158429,0.99,1,365,3,34,365,365,3.3,365.0,t,0,0,0,0
754275864171799122,0.99,3,365,3,3,365,365,3.0,365.0,t,4,4,13,254
754319301704032582,0.99,2,365,2,2,365,365,2.0,365.0,t,13,43,73,348
749939533815913601,0.99,2,30,1,2,1125,1125,2.0,1125.0,t,21,51,81,343
749940356221214047,0.99,1,365,1,1,365,365,1.0,365.0,t,24,54,84,282
749944387202007594,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,4,11,29,161
750553940556219390,0.99,1,90,1,3,90,90,1.6,90.0,t,30,60,90,365
754776031615571360,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
754783849152900264,0.99,3,365,1,5,365,365,3.4,365.0,t,16,34,50,130
750560470592618163,0.99,1,365,1,1,365,365,1.0,365.0,t,21,51,81,81
754859158382391618,0.99,1,365,1,4,999,999,3.2,999.0,t,9,25,52,324
750605865924402121,0.99,3,20,3,3,20,20,3.0,20.0,t,0,0,5,5
750642215652375663,0.99,5,365,3,5,1125,1125,5.0,1125.0,t,8,19,26,225
750772979845643029,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,7,32,62,62
754866527586530174,0.99,1,365,1,4,999,999,3.2,999.0,t,5,22,52,324
750821676878614027,0.99,1,90,1,1,90,90,1.0,90.0,t,29,59,89,179
754885707622552272,0.99,1,365,2,5,365,365,4.7,365.0,t,0,0,0,0
751123997351610650,0.99,2,1125,2,4,1125,1125,2.4,1125.0,t,11,29,47,72
754908147071060360,0.99,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365
754912840999438583,0.99,30,1125,31,365,1125,1125,354.2,1125.0,t,0,0,0,211
754917247512436216,0.99,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365
754925240369580472,0.99,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365
751141959757234448,0.99,2,365,3,10,365,365,5.4,365.0,t,7,7,7,159
754928970291760769,0.99,1,365,1,1,365,365,1.0,365.0,t,26,56,86,361
754940890315106036,0.99,1,30,1,1,1125,1125,1.0,1125.0,t,12,34,64,72
751161253466059544,0.99,2,60,1,2,1125,1125,2.0,1125.0,t,9,27,57,57
755005377588393244,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,135
751168074314285436,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,28,58,88,363
751303070649219042,0.99,31,330,31,31,330,330,31.0,330.0,t,0,0,0,192
755012302086199633,0.99,3,1125,2,3,1125,1125,2.6,1125.0,t,12,37,63,338
751346042344775322,0.99,2,365,2,2,1125,1125,2.0,1125.0,t,6,22,46,127
751354320810926741,0.99,4,365,4,4,1125,1125,4.0,1125.0,t,0,0,0,0
751362039916267906,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,13,43,318
755087622578403900,0.99,3,30,3,3,30,30,3.0,30.0,t,8,38,68,343
751379724690114507,0.99,4,1125,4,4,1125,1125,4.0,1125.0,f,0,0,0,0
751380777788341885,0.99,2,365,2,2,1125,1125,2.0,1125.0,f,0,0,0,0
755115472714831255,0.99,1,365,1,1,365,365,1.0,365.0,t,29,59,89,364
751414687265983412,0.99,4,30,1,4,1125,1125,2.9,1125.0,t,6,26,56,56
755138391725481232,0.99,1,365,1,1,365,365,1.0,365.0,t,30,60,90,365
751432057735818145,0.99,2,365,1,2,365,365,2.0,365.0,t,0,0,0,0
755187562832470702,0.99,60,120,1,60,120,120,39.7,120.0,t,0,0,0,0
751502413431491843,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365
751524433848429927,0.99,1,29,1,1,29,29,1.0,29.0,t,19,44,73,312
751524672009749082,0.99,1,29,1,1,29,29,1.0,29.0,t,19,46,75,314
755412887233583802,0.99,2,90,2,2,90,90,2.0,90.0,t,16,46,63,244
751552070591734763,0.99,2,10,2,2,10,10,2.0,10.0,t,30,60,90,90
751561307716834389,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,223
751601080605559918,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
