host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
16655057,Jose Maria,100%,4.0,4.0
47410479,Pedro,100%,2.0,2.0
48769462,María José,100%,3.0,3.0
1232533,Manuel,100%,1.0,1.0
48794838,Rafael,Desconocido,1.0,1.0
26340878,Ana Belén,100%,1.0,1.0
42621480,Gerard Y Byron,100%,3.0,3.0
48874758,Pedro,100%,3.0,3.0
42509108,Felix,100%,4.0,4.0
48951414,Alberto - Nuria,100%,1.0,1.0
24864006,Ramón,100%,1.0,1.0
48992339,Eduardo,100%,3.0,3.0
24333252,Angel,Desconocido,1.0,1.0
33832455,Ricardo,100%,1.0,1.0
45849398,Fran,98%,11.0,11.0
28404781,Jose,Desconocido,2.0,2.0
45882418,Angel,100%,0.0,0.0
24687655,María Adoración,93%,1.0,1.0
46219257,Pedro,83%,2.0,2.0
3885180,Leticia,Desconocido,1.0,1.0
49182810,Macarena,100%,1.0,1.0
2752722,Alejandro,Desconocido,1.0,1.0
15720962,Sergio,100%,2.0,2.0
28457745,Sebastien,Desconocido,1.0,1.0
49261148,Juan Carlos,100%,1.0,1.0
49269166,Esteban,Desconocido,1.0,1.0
50708690,Carlos,Desconocido,1.0,1.0
17456435,Nicolas,Desconocido,1.0,1.0
17160544,Jose Esteban,Desconocido,1.0,1.0
584351,Pablo,100%,6.0,6.0
50758294,Pedro Jose,100%,1.0,1.0
49397122,José María Y Diego,Desconocido,2.0,2.0
34264356,Jeffrey,Desconocido,1.0,1.0
26609247,Carolina,100%,2.0,2.0
29442756,Nico,Desconocido,1.0,1.0
36542167,Antonio,Desconocido,1.0,1.0
22329344,Aida,100%,1.0,1.0
19238205,Antonio Y Carlos,100%,1.0,1.0
7657596,Miguel,Desconocido,1.0,1.0
50883425,Wilson,Desconocido,1.0,1.0
50351360,Ana,Desconocido,2.0,2.0
5823271,Julie,Desconocido,1.0,1.0
50894507,Marisol,Desconocido,1.0,1.0
49690529,Rocio,100%,2.0,2.0
44550572,Jose,100%,3.0,3.0
50918682,Edouard,Desconocido,1.0,1.0
15644991,Maria,Desconocido,1.0,1.0
38429316,Javier,Desconocido,1.0,1.0
20888962,Felipe,Desconocido,1.0,1.0
48340394,Max,Desconocido,1.0,1.0
46178038,Annabel,Desconocido,1.0,1.0
41731653,José María,99%,7.0,7.0
16731732,Javi,Desconocido,1.0,1.0
19046031,Daniel,Desconocido,1.0,1.0
51127160,Maria Cruz,100%,1.0,1.0
49876674,Quini,100%,2.0,2.0
49659497,Javier,100%,1.0,1.0
14463303,Teresa,Desconocido,1.0,1.0
27091473,Mark,Desconocido,1.0,1.0
5905260,Ghaleb,71%,3.0,3.0
10283018,Lowa,Desconocido,1.0,1.0
51176570,Mar,100%,6.0,6.0
49326150,Mario,Desconocido,1.0,1.0
3663439,Arrate,0%,1.0,1.0
50128107,Julio,Desconocido,1.0,1.0
51230196,Jorge,Desconocido,1.0,1.0
51165124,Christophe  Et Elena,Desconocido,1.0,1.0
1410233,Adriana,100%,2.0,2.0
50183470,Francesco,Desconocido,1.0,1.0
50211168,Andres,Desconocido,1.0,1.0
16284786,Juan Luis,Desconocido,1.0,1.0
38143510,Margarita,100%,2.0,2.0
35538541,Francisco B.,70%,0.0,0.0
7906474,Maria,Desconocido,1.0,1.0
23491551,Alfred,100%,1.0,1.0
