id,property_type,room_type,host_id,bedroom,beds,bathroom
33849486,Private room in rental unit,Private room,33249197,1 bedrooms,1 beds,0 bathrooms
34285838,Private room in rental unit,Private room,258851276,1 bedrooms,1 beds,0 bathrooms
34285874,Entire rental unit,Entire home/apt,228234413,2 bedrooms,5 beds,2 baths
33854778,Private room in rental unit,Private room,105309125,1 bedroom,1 bed,1.5 shared baths
34294163,Private room in rental unit,Private room,67353,1 bedrooms,1 beds,0 bathrooms
34306844,Private room in rental unit,Private room,6213248,1 bedrooms,1 beds,0 bathrooms
34309334,Private room in rental unit,Private room,22397791,1 bedroom,1 bed,1 shared bath
33854794,Private room in home,Private room,255631333,1 bedroom,1 bed,1 private bath
34324312,Private room in home,Private room,259134821,1 bedroom,1 bed,2 shared baths
33856155,Entire loft,Entire home/apt,249520145,2 bedrooms,3 beds,1 bath
34325521,Private room in home,Private room,259143931,1 bedroom,1 bed,1.5 shared baths
33864688,Private room in bed and breakfast,Private room,226724936,1 bedroom,2 beds,1 shared bath
33865179,Entire home,Entire home/apt,255716366,3 bedrooms,3 beds,1 bath
34326895,Private room in home,Private room,259134821,1 bedroom,1 bed,1 shared bath
33866673,Entire rental unit,Entire home/apt,7218465,2 bedrooms,2 beds,1 bath
34334802,Entire rental unit,Entire home/apt,259214173,1 bedrooms,1 beds,0 bathrooms
34334961,Private room in rental unit,Private room,259212836,1 bedrooms,1 beds,0 bathrooms
33868140,Private room in rental unit,Private room,16302263,1 bedrooms,1 beds,0 bathrooms
34337935,Private room in rental unit,Private room,52921193,1 bedrooms,1 beds,0 bathrooms
33873338,Entire rental unit,Entire home/apt,44245412,1 bedroom,2 beds,1.5 baths
33874679,Private room in home,Private room,59365374,1 bedroom,1 bed,1 private bath
34339600,Private room in rental unit,Private room,259252507,1 bedroom,1 bed,2 baths
33874838,Entire rental unit,Entire home/apt,7105807,1 bedroom,1 bed,1.5 baths
33875225,Private room in rental unit,Private room,27859612,1 bedroom,2 beds,1 shared bath
34346734,Private room in rental unit,Private room,229022110,1 bedroom,1 bed,1 shared bath
33877142,Private room in rental unit,Private room,255818987,1 bedrooms,1 beds,0 bathrooms
33893251,Entire rental unit,Entire home/apt,28038703,1 bedroom,1 bed,1 bath
34352115,Entire rental unit,Entire home/apt,259352992,1 bedroom,2 beds,1 bath
33908056,Private room in rental unit,Private room,256054099,1 bedrooms,1 beds,0 bathrooms
34353268,Entire rental unit,Entire home/apt,259352992,1 bedroom,2 beds,1 bath
33919776,Entire rental unit,Entire home/apt,3025374,1 bedrooms,1 beds,0 bathrooms
34353310,Entire rental unit,Entire home/apt,183372646,2 bedrooms,2 beds,1 bath
34354511,Entire home,Entire home/apt,86448592,1 bedrooms,1 beds,0 bathrooms
33920503,Entire rental unit,Entire home/apt,26356160,2 bedrooms,2 beds,1 bath
34354591,Private room in rental unit,Private room,258785709,1 bedroom,1 bed,1 shared bath
33921059,Entire rental unit,Entire home/apt,29859518,1 bedroom,2 beds,1 bath
34367013,Entire rental unit,Entire home/apt,259458506,1 bedroom,2 beds,1 bath
33921583,Entire rental unit,Entire home/apt,255565914,2 bedrooms,2 beds,1.5 baths
34376725,Entire chalet,Entire home/apt,259536848,3 bedrooms,4 beds,2 baths
34377097,Private room in rental unit,Private room,32251998,1 bedrooms,1 beds,0 bathrooms
34377763,Entire condo,Entire home/apt,42819340,2 bedrooms,2 beds,1 bath
33950483,Entire rental unit,Entire home/apt,231774867,1 bedroom,3 beds,1 bath
33951615,Entire rental unit,Entire home/apt,231774867,Studio,2 beds,1 bath
